Address description,Price,Rooms,Rooms detailed,Surface area,Bathrooms,Floor,House type,Total building floors,Year of construction,Condition,Energy Efficiency,URL
"Apartment via Albenga 2, Lingotto, Turin","€ 165,000",5,"5 (3 bedrooms, 2 others), 1 bathroom, kitchen diner",100 m²,,"3°, with lift",Apartment | Full ownership | Medium property class,9 floors,1960,To be refurbished,F,https://www.immobiliare.it/en/annunci/99929544/
"2-room flat via Duino 184BIS, Mirafiori Sud - Onorato Vigliani, Turin","€ 71,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",60 m²,,"6°, with lift",Apartment | Full ownership | Medium property class,6 floors,1960,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/97514484/
"Apartment corso siracusa, 79, Santa Rita, Turin","€ 235,000",5,"5 (4 bedrooms, 1 other), 1 bathroom, kitchen diner",128 m² | commercial 134.5 m² - See detail,,"2°, with lift",Apartment | Full ownership | Stately property class,7 floors,1969,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/101585695/
"Apartment via XX SETTEMBRE, 9, Via Roma, Turin","€ 735,000",5+,"5+ (2 bedrooms, 5 others), 3 bathrooms, kitchen diner",235 m²,3,"4°, with lift",Apartment | Full ownership | Stately property class,4 floors,1910,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/99936782/
"4-room flat via STELVIO 67, Pozzo Strada, Turin","€ 248,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",145 m²,2,"3°, with lift",Apartment | Full ownership | Stately property class,7 floors,1972,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/92280220/
"Apartment corso IV NOVEMBRE 114, Santa Rita, Turin","€ 240,000",5,"5 (2 bedrooms, 3 others), 1 bathroom, kitchen nook",148 m²,,"6°, with lift",Apartment | Full ownership | Medium property class,9 floors,1952,To be refurbished,G,https://www.immobiliare.it/en/annunci/97332268/
"Apartment via Trecate 11, Pozzo Strada, Turin","€ 195,000",5,"5 (2 bedrooms, 3 others), 2 bathrooms, kitchenette",120 m²,2,"1°, with lift",Apartment | Full ownership | Medium property class,5 floors,1955,To be refurbished,G,https://www.immobiliare.it/en/annunci/99616116/
"4-room flat corso GIAMBONE 63, Lingotto, Turin","€ 220,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",125 m²,2,"3°, with lift",Apartment | Full ownership | Medium property class,9 floors,1970,To be refurbished,G,https://www.immobiliare.it/en/annunci/97465496/
"4-room flat via Paolo Veronese 134/18, Barriera di Lanzo, Turin","€ 149,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",101 m²,2,1°,Apartment | Full ownership | Medium property class,2 floors,1960,Excellent / Refurbished,F,https://www.immobiliare.it/en/annunci/97609534/
"3-room flat corso Monte Grappa 74, Parella, Turin","€ 125,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",75 m²,,"2°, with lift",Apartment | Full ownership | Medium property class,8 floors,1956,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/100794251/
